date_of_trip,Member type,count
2011-03-03,Casual,123
2011-03-03,Member,1536
2011-03-04,Casual,214
2011-03-04,Member,1709
2011-03-05,Casual,640
2011-03-05,Member,1414
2011-03-06,Casual,113
2011-03-06,Member,469
2011-03-07,Casual,243
2011-03-07,Member,1599
2011-03-08,Casual,316
2011-03-08,Member,1781
2011-03-09,Casual,191
2011-03-09,Member,1677
2011-03-10,Casual,46
2011-03-10,Member,570
2011-03-11,Casual,247
2011-03-11,Member,1706
2011-03-12,Casual,724
2011-03-12,Member,1380
2011-03-13,Casual,979
2011-03-13,Member,1396
2011-03-14,Casual,359
2011-03-14,Member,1673
2011-03-15,Casual,288
2011-03-15,Member,1736
2011-03-16,Casual,321
2011-03-16,Member,1851
2011-03-17,Casual,423
2011-03-17,Member,2295
2011-03-18,Casual,883
2011-03-18,Member,2311
2011-03-19,Casual,1422
2011-03-19,Member,1634
2011-03-20,Casual,1046
2011-03-20,Member,1372
2011-03-21,Casual,401
2011-03-21,Member,1657
2011-03-22,Casual,460
2011-03-22,Member,2207
2011-03-23,Casual,203
2011-03-23,Member,1898
2011-03-24,Casual,166
2011-03-24,Member,1678
2011-03-25,Casual,300
2011-03-25,Member,1886
2011-03-26,Casual,981
2011-03-26,Member,1477
2011-03-27,Casual,470
2011-03-27,Member,1195
2011-03-28,Casual,222
2011-03-28,Member,1782
2011-03-29,Casual,317
2011-03-29,Member,2080
2011-03-30,Casual,168
2011-03-30,Member,1351
2011-03-31,Casual,179
2011-03-31,Member,1489
2011-04-01,Casual,307
2011-04-01,Member,1885
2011-04-02,Casual,897
2011-04-02,Member,1328
2011-04-03,Casual,1651
2011-04-03,Member,1561
2011-04-04,Casual,734
2011-04-04,Member,2345
2011-04-05,Casual,167
2011-04-05,Member,1601
2011-04-06,Casual,413
2011-04-06,Member,2363
2011-04-07,Casual,570
2011-04-07,Member,2431
2011-04-08,Casual,172
2011-04-08,Member,1282
2011-04-09,Casual,879
2011-04-09,Member,1549
2011-04-10,Casual,1188
2011-04-10,Member,1662
2011-04-11,Casual,854
2011-04-11,Member,2450
2011-04-12,Casual,257
2011-04-12,Member,1740
2011-04-13,Casual,208
2011-04-13,Member,1920
2011-04-14,Casual,527
2011-04-14,Member,2683
2011-04-15,Casual,642
2011-04-15,Member,2441
2011-04-16,Casual,121
2011-04-16,Member,654
2011-04-17,Casual,1555
2011-04-17,Member,2123
2011-04-18,Casual,668
2011-04-18,Member,2701
2011-04-19,Casual,409
2011-04-19,Member,2730
2011-04-20,Casual,612
2011-04-20,Member,3286
2011-04-21,Casual,743
2011-04-21,Member,3249
2011-04-22,Casual,177
2011-04-22,Member,1471
2011-04-23,Casual,1460
2011-04-23,Member,2510
2011-04-24,Casual,1708
2011-04-24,Member,2408
2011-04-25,Casual,772
2011-04-25,Member,3249
2011-04-26,Casual,675
2011-04-26,Member,3656
2011-04-27,Casual,545
2011-04-27,Member,3264
2011-04-28,Casual,568
2011-04-28,Member,3428
2011-04-29,Casual,877
2011-04-29,Member,3560
2011-04-30,Casual,1963
2011-04-30,Member,3251
2011-05-01,Casual,1137
2011-05-01,Member,2158
2011-05-02,Casual,845
2011-05-02,Member,3484
2011-05-03,Casual,603
